HF:Financing scheme,HC:Function,HP:Provider,LOCATION:Country,TIME:Year,MSR:Value
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP1:Hospitals,AUT:Austria,2012,1799.689
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP1:Hospitals,AUT:Austria,2013,1833.627
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP1:Hospitals,AUT:Austria,2014,1860.91
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP1:Hospitals,AUT:Austria,2015,1879.832
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP1:Hospitals,AUT:Austria,2016,1989.357
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP1:Hospitals,AUT:Austria,2017,2042.249
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP1:Hospitals,AUT:Austria,2018,2136.427
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP1:Hospitals,AUT:Austria,2019,2204.345
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP1:Hospitals,BEL:Belgium,2010,1396.32
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP1:Hospitals,BEL:Belgium,2011,1475.946
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP1:Hospitals,BEL:Belgium,2012,1553.646
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP1:Hospitals,BEL:Belgium,2013,1631.67
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP1:Hospitals,BEL:Belgium,2014,1670.698
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP1:Hospitals,BEL:Belgium,2015,1762.798
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP1:Hospitals,BEL:Belgium,2016,1805.376
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP1:Hospitals,BEL:Belgium,2017,1869.14
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP1:Hospitals,BEL:Belgium,2018,1947.961
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP1:Hospitals,BEL:Belgium,2019,2089.307
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP2:Residential long-term care facilities,AUT:Austria,2010,348.104
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP2:Residential long-term care facilities,AUT:Austria,2011,356.437
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP2:Residential long-term care facilities,AUT:Austria,2012,382.598
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP2:Residential long-term care facilities,AUT:Austria,2013,414.723
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP2:Residential long-term care facilities,AUT:Austria,2014,418.06
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP2:Residential long-term care facilities,AUT:Austria,2015,429.709
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP2:Residential long-term care facilities,AUT:Austria,2016,443.332
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP2:Residential long-term care facilities,AUT:Austria,2017,453.84
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP2:Residential long-term care facilities,AUT:Austria,2018,477.427
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP2:Residential long-term care facilities,AUT:Austria,2019,486.031
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP2:Residential long-term care facilities,BEL:Belgium,2010,472.165
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP2:Residential long-term care facilities,BEL:Belgium,2011,482.612
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP2:Residential long-term care facilities,BEL:Belgium,2012,511.267
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP2:Residential long-term care facilities,BEL:Belgium,2013,537.039
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP2:Residential long-term care facilities,BEL:Belgium,2014,564.13
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP2:Residential long-term care facilities,BEL:Belgium,2015,520.866
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP2:Residential long-term care facilities,BEL:Belgium,2016,562.424
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP2:Residential long-term care facilities,BEL:Belgium,2017,576.6
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP2:Residential long-term care facilities,BEL:Belgium,2018,608.21
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP2:Residential long-term care facilities,BEL:Belgium,2019,629.029
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP3:Providers of ambulatory health care,AUT:Austria,2010,959.779
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP3:Providers of ambulatory health care,AUT:Austria,2011,981.776
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP3:Providers of ambulatory health care,AUT:Austria,2012,1017.69
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP3:Providers of ambulatory health care,AUT:Austria,2013,1079.4
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP3:Providers of ambulatory health care,AUT:Austria,2014,1100.558
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP3:Providers of ambulatory health care,AUT:Austria,2015,1120.823
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP3:Providers of ambulatory health care,AUT:Austria,2016,1187.683
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP3:Providers of ambulatory health care,AUT:Austria,2017,1217.263
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP3:Providers of ambulatory health care,AUT:Austria,2018,1273.396
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP3:Providers of ambulatory health care,AUT:Austria,2019,1313.364
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP3:Providers of ambulatory health care,BEL:Belgium,2010,1200.077
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP3:Providers of ambulatory health care,BEL:Belgium,2011,1237.432
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP3:Providers of ambulatory health care,BEL:Belgium,2012,1304.501
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP3:Providers of ambulatory health care,BEL:Belgium,2013,1360.748
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP3:Providers of ambulatory health care,BEL:Belgium,2014,1437.665
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP3:Providers of ambulatory health care,BEL:Belgium,2015,1445.906
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP3:Providers of ambulatory health care,BEL:Belgium,2016,1704.036
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP3:Providers of ambulatory health care,BEL:Belgium,2017,1759.846
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP3:Providers of ambulatory health care,BEL:Belgium,2018,1839.167
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP3:Providers of ambulatory health care,BEL:Belgium,2019,1763.023
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP4:Providers of ancillary services,AUT:Austria,2010,135.758
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP4:Providers of ancillary services,AUT:Austria,2011,134.481
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP4:Providers of ancillary services,AUT:Austria,2012,142.785
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP4:Providers of ancillary services,AUT:Austria,2013,147.776
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP4:Providers of ancillary services,AUT:Austria,2014,146.459
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP4:Providers of ancillary services,AUT:Austria,2015,148.198
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP4:Providers of ancillary services,AUT:Austria,2016,154.915
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP4:Providers of ancillary services,AUT:Austria,2017,156.37
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP4:Providers of ancillary services,AUT:Austria,2018,164.906
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP4:Providers of ancillary services,AUT:Austria,2019,170.121
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP4:Providers of ancillary services,BEL:Belgium,2010,96.295
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP4:Providers of ancillary services,BEL:Belgium,2011,93.173
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP4:Providers of ancillary services,BEL:Belgium,2012,110.717
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP4:Providers of ancillary services,BEL:Belgium,2013,105.928
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP4:Providers of ancillary services,BEL:Belgium,2014,105.758
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP4:Providers of ancillary services,BEL:Belgium,2015,109.087
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP4:Providers of ancillary services,BEL:Belgium,2016,113.481
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP4:Providers of ancillary services,BEL:Belgium,2017,111.343
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP4:Providers of ancillary services,BEL:Belgium,2018,112.001
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP4:Providers of ancillary services,BEL:Belgium,2019,115.943
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP5:Retailers and other providers of medical goods,AUT:Austria,2010,655.258
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP5:Retailers and other providers of medical goods,AUT:Austria,2011,677.366
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP5:Retailers and other providers of medical goods,AUT:Austria,2012,706.877
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP5:Retailers and other providers of medical goods,AUT:Austria,2013,731.712
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP5:Retailers and other providers of medical goods,AUT:Austria,2014,759.663
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP5:Retailers and other providers of medical goods,AUT:Austria,2015,783.178
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP5:Retailers and other providers of medical goods,AUT:Austria,2016,806.26
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP5:Retailers and other providers of medical goods,AUT:Austria,2017,833.711
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP5:Retailers and other providers of medical goods,AUT:Austria,2018,867.97
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP5:Retailers and other providers of medical goods,AUT:Austria,2019,889.87
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP5:Retailers and other providers of medical goods,BEL:Belgium,2010,561.382
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP5:Retailers and other providers of medical goods,BEL:Belgium,2011,569.771
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP5:Retailers and other providers of medical goods,BEL:Belgium,2012,558.538
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP5:Retailers and other providers of medical goods,BEL:Belgium,2013,577.177
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP5:Retailers and other providers of medical goods,BEL:Belgium,2014,575.246
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP5:Retailers and other providers of medical goods,BEL:Belgium,2015,580.135
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP5:Retailers and other providers of medical goods,BEL:Belgium,2016,587.412
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP5:Retailers and other providers of medical goods,BEL:Belgium,2017,582.491
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP5:Retailers and other providers of medical goods,BEL:Belgium,2018,599.937
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP5:Retailers and other providers of medical goods,BEL:Belgium,2019,602.227
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP6:Providers of preventive care,AUT:Austria,2010,37.352
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP6:Providers of preventive care,AUT:Austria,2011,36.885
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP6:Providers of preventive care,AUT:Austria,2012,37.577
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP6:Providers of preventive care,AUT:Austria,2013,38.508
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP6:Providers of preventive care,AUT:Austria,2014,38.951
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP6:Providers of preventive care,AUT:Austria,2015,41.294
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP6:Providers of preventive care,AUT:Austria,2016,40.432
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP6:Providers of preventive care,AUT:Austria,2017,41.308
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP6:Providers of preventive care,AUT:Austria,2018,41.901
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP6:Providers of preventive care,AUT:Austria,2019,43.139
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP6:Providers of preventive care,BEL:Belgium,2010,29.825
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP6:Providers of preventive care,BEL:Belgium,2011,25.313
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP6:Providers of preventive care,BEL:Belgium,2012,32.343
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP6:Providers of preventive care,BEL:Belgium,2013,34.098
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP6:Providers of preventive care,BEL:Belgium,2014,39.465
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP6:Providers of preventive care,BEL:Belgium,2015,38.157
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP6:Providers of preventive care,BEL:Belgium,2016,28.837
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP6:Providers of preventive care,BEL:Belgium,2017,33.097
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP6:Providers of preventive care,BEL:Belgium,2018,37.921
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP6:Providers of preventive care,BEL:Belgium,2019,39.06
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP7:Providers of health care system administration and financing,AUT:Austria,2010,164.2
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP7:Providers of health care system administration and financing,AUT:Austria,2011,167.845
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP7:Providers of health care system administration and financing,AUT:Austria,2012,181.474
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP7:Providers of health care system administration and financing,AUT:Austria,2013,193.301
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP7:Providers of health care system administration and financing,AUT:Austria,2014,197.793
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP7:Providers of health care system administration and financing,AUT:Austria,2015,200.822
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP7:Providers of health care system administration and financing,AUT:Austria,2016,212.034
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP7:Providers of health care system administration and financing,AUT:Austria,2017,211.49
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP7:Providers of health care system administration and financing,AUT:Austria,2018,221.344
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP7:Providers of health care system administration and financing,AUT:Austria,2019,231.165
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP7:Providers of health care system administration and financing,BEL:Belgium,2010,164.197
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP7:Providers of health care system administration and financing,BEL:Belgium,2011,174.04
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP7:Providers of health care system administration and financing,BEL:Belgium,2012,163.295
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP7:Providers of health care system administration and financing,BEL:Belgium,2013,174.373
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP7:Providers of health care system administration and financing,BEL:Belgium,2014,179.43
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP7:Providers of health care system administration and financing,BEL:Belgium,2015,181.646
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP7:Providers of health care system administration and financing,BEL:Belgium,2016,189.343
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP7:Providers of health care system administration and financing,BEL:Belgium,2017,190.622
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP7:Providers of health care system administration and financing,BEL:Belgium,2018,200.976
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP7:Providers of health care system administration and financing,BEL:Belgium,2019,209.291
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP8:Rest of the economy,AUT:Austria,2010,275.966
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP8:Rest of the economy,AUT:Austria,2011,279.381
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP8:Rest of the economy,AUT:Austria,2012,290.008
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP8:Rest of the economy,AUT:Austria,2013,296.261
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP8:Rest of the economy,AUT:Austria,2014,298.694
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP8:Rest of the economy,AUT:Austria,2015,300.851
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP8:Rest of the economy,AUT:Austria,2016,316.969
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP8:Rest of the economy,AUT:Austria,2017,319.643
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP8:Rest of the economy,AUT:Austria,2018,318.182
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP8:Rest of the economy,AUT:Austria,2019,314.404
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP8:Rest of the economy,BEL:Belgium,2010,1.966
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP8:Rest of the economy,BEL:Belgium,2011,6.826
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP8:Rest of the economy,BEL:Belgium,2012,9.601
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP8:Rest of the economy,BEL:Belgium,2013,14.898
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP8:Rest of the economy,BEL:Belgium,2014,15.833
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP8:Rest of the economy,BEL:Belgium,2015,15.651
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP8:Rest of the economy,BEL:Belgium,2016,12.994
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP8:Rest of the economy,BEL:Belgium,2017,13.037
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP8:Rest of the economy,BEL:Belgium,2018,12.718
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP8:Rest of the economy,BEL:Belgium,2019,10.521
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP9:Rest of the world,AUT:Austria,2010,31.809
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP9:Rest of the world,AUT:Austria,2011,25.642
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP9:Rest of the world,AUT:Austria,2012,29.647
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP9:Rest of the world,AUT:Austria,2013,31.778
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP9:Rest of the world,AUT:Austria,2014,37.242
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP9:Rest of the world,AUT:Austria,2015,38.809
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP9:Rest of the world,AUT:Austria,2016,44.549
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP9:Rest of the world,AUT:Austria,2017,39.478
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP9:Rest of the world,AUT:Austria,2018,43.213
HFTOT:All financing schemes,HCTOT:Current expenditure on health (all functions),HP9:Rest of the world,AUT:Austria,2019,52.663
HF1:Government/compulsory schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,AUT:Austria,2010,3180.755
HF1:Government/compulsory schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,AUT:Austria,2011,3242.116
HF1:Government/compulsory schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,AUT:Austria,2012,3426.503
HF1:Government/compulsory schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,AUT:Austria,2013,3527.938
HF1:Government/compulsory schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,AUT:Austria,2014,3595.678
HF1:Government/compulsory schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,AUT:Austria,2015,3661.079
HF1:Government/compulsory schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,AUT:Austria,2016,3842.678
HF1:Government/compulsory schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,AUT:Austria,2017,3934.347
HF1:Government/compulsory schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,AUT:Austria,2018,4149.584
HF1:Government/compulsory schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,AUT:Austria,2019,4292.127
HF1:Government/compulsory schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,AUT:Austria,2020,4504.329
HF1:Government/compulsory schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,ISR:Israel,2010,1240.2
HF1:Government/compulsory schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,ISR:Israel,2011,1302.96
HF1:Government/compulsory schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,ISR:Israel,2012,1391.97
HF1:Government/compulsory schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,ISR:Israel,2013,1419.596
HF1:Government/compulsory schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,ISR:Israel,2014,1412.642
HF1:Government/compulsory schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,ISR:Israel,2015,1464.941
HF1:Government/compulsory schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,ISR:Israel,2016,1598.151
HF1:Government/compulsory schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,ISR:Israel,2017,1677.671
HF1:Government/compulsory schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,ISR:Israel,2018,1830.899
HF1:Government/compulsory schemes,HCTOT:Current expenditure on health (all functions),HPTOT:All providers,ISR:Israel,2019,1880.82
HF1:Government/compulsory schemes,HCTOT:Current expenditure on health (all functions),HP1:Hospitals,AUT:Austria,2010,1485.505
HF1:Government/compulsory schemes,HCTOT:Current expenditure on health (all functions),HP1:Hospitals,AUT:Austria,2011,1520.31
HF1:Government/compulsory schemes,HCTOT:Current expenditure on health (all functions),HP1:Hospitals,AUT:Austria,2012,1625.831
HF1:Government/compulsory schemes,HCTOT:Current expenditure on health (all functions),HP1:Hospitals,AUT:Austria,2013,1652.925
HF1:Government/compulsory schemes,HCTOT:Current expenditure on health (all functions),HP1:Hospitals,AUT:Austria,2014,1679.619
